cmd,apt,winget,npm,dotnet
aws-templates,,,,Amazon.Lambda.Templates
az,,Microsoft.AzureCLI,,
azurite,,,azurite,
bash-language-server,,,bash-language-server,
bat,bat,sharkdp.bat,,
carapace,,rsteube.Carapace,,
code,,Microsoft.VisualStudioCode,,
docker,,Docker.DockerDesktop,,
dotCover,,,,JetBrains.dotCover.GlobalTool
dotnet,,Microsoft.DotNet.SDK.7,,
eza,,eza-community.eza,,
fd,fd-find,sharkdp.fd,,
fzf,fzf,junegunn.fzf,,
gh,,GitHub.cli,,
gk,,Axosoft.GitKraken,,
hurl,,Orange-OpenSource.Hurl,,
jetbrains,,JetBrains.Toolbox,,
jq,jq,jqlang.jq,,
libreoffice,,TheDocumentFoundation.LibreOffice,,
linqpad,,LINQPad.LINQPad.7,,
nuke,,,,Nuke.GlobalTool
nvim,,Neovim.Neovim,,
nvm,,CoreyButler.NVMforWindows,,
obsidian,,Obsidian.Obsidian,,
python3,,Python.Python.3.11,,
resharper,,,,JetBrains.ReSharper.GlobalTools
rg,ripgrep,BurntSushi.ripgrep.MSVC,,
starship,,Starship.Starship,,
terraform,,Hashicorp.Terraform,,
unzip,unzip,,,
wslu,wslu,,,
yaml-language-server,,,yaml-language-server,
zig,,zig.zig,,
zip,,GnuWin32.Zip,,
zoom,,Zoom.Zoom,,
storage-explorer,,Microsoft.Azure.StorageExplorer,,
